Stop ID,Name,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code
SBK28,SRI RAYA,Rapid KL,3.06227,101.7729,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK30,BATU 11 CHERAS,Rapid KL,3.04134,101.77338,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK29,BANDAR TUN HUSSIEN ONN,Rapid KL,3.04822,101.77511,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK33,SUNGAI JERNIH,Rapid KL,3.00095,101.78386,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK34,STADIUM KAJANG,Rapid KL,2.99451,101.78634,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK35,KAJANG,Rapid KL,2.98278,101.79028,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
KS03,TERMINAL SKYPARK,Keretapi Tanah Melayu,3.13442,101.55543,KS,Skypark Link,10,Brown,#A52A2A
KS02,SUBANG JAYA,Keretapi Tanah Melayu,3.08466,101.588127,KS,Skypark Link,10,Brown,#A52A2A
KS01,KL SENTRAL,Keretapi Tanah Melayu,3.132675,101.687891,KS,Skypark Link,10,Brown,#A52A2A
SB7,USJ7,Rapid Bus,3.05525,101.59198,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SB6,SOUTH QUAY-USJ1,Rapid Bus,3.06162,101.59681,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SB5,SUNU MONASH,Rapid Bus,3.0653,101.60161,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SB4,SUNMED,Rapid Bus,3.06554,101.60861,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SB2,MENTARI,Rapid Bus,3.07613,101.61023,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SB3,SUNWAY LAGOON,Rapid Bus,3.07065,101.61079,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SB1,SUNWAY-SETIA JAYA,Rapid Bus,3.08292,101.61228,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
