Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
TAMAN BAHAGIA,KJ23,Rapid KL,3.110790,101.612856,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
KELANA JAYA,KJ24,Rapid KL,3.112497,101.604300,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
LEMBAH SUBANG,KJ25,Rapid KL,3.112094,101.591034,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
ARA DAMANSARA,KJ26,Rapid KL,3.108452,101.586644,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
GLENMARIE,KJ27,Rapid KL,3.095902,101.590474,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
SUBANG JAYA,KJ28,Rapid KL,3.084862,101.587240,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
SS15,KJ29,Rapid KL,3.075895,101.586027,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
WANGSA MAJU,KJ3,Rapid KL,3.205751,101.731796,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
SS18,KJ30,Rapid KL,3.066939,101.586167,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
USJ7,KJ31,Rapid KL,3.055025,101.591907,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
TAIPAN,KJ32,Rapid KL,3.047826,101.590201,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
WAWASAN,KJ33,Rapid KL,3.034969,101.588194,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
USJ21,KJ34,Rapid KL,3.029735,101.581854,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
ALAM MEGAH,KJ35,Rapid KL,3.023151,101.572029,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
SUBANG ALAM,KJ36,Rapid KL,3.010070,101.572080,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
PUTRA HEIGHTS,KJ37,Rapid KL,2.996227,101.575462,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
SRI RAMPAI,KJ4,Rapid KL,3.199176,101.737470,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
SETIAWANGSA,KJ5,Rapid KL,3.175760,101.735840,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
JELATEK,KJ6,Rapid KL,3.167204,101.735344,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
DATO' KERAMAT,KJ7,Rapid KL,3.165090,101.731840,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
DAMAI,KJ8,Rapid KL,3.164406,101.724489,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
AMPANG PARK,KJ9,Rapid KL,3.159894,101.719017,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
